Titel;Satz;Position1;Position2;Suspense
Der Fremde;Der Weg führte durch einen dichten Eichenwald, der sich bis nahe vor die Thore der Stadt erstreckte.;8506;8606;/1
Der Untergang des Hauses Usher;Und nun, da der Held der schrecklichen Wut des Drachen entronnen war und sich des stählernen Schildes erinnerte, dessen Zauber nun gebrochen, räumte er den Kadaver beiseite und schritt über das silberne Pflaster kühn hin zu dem Schild an der Wand.;40142;40389;/0
Der Untergang des Hauses Usher;"Der alte Band, den ich zur Hand genommen hatte, war der ›Mad Trist‹ von Sir Launcelot Canning, aber ich hatte ihn mehr in traurigem Scherz als im Ernst Ushers Lieblingsbuch genannt;";35190;35371;/0
Der Fremde;"Das freundlichste Abendroth stand auf den Hügeln, als er nur noch ohngefähr eine Meile von seinem Wohnorte entfernt war;";7954;8074;/0
Der Untergang des Hauses Usher;So, so und nicht anders wird mich der Untergang ereilen!;14435;14491;/1
Der Fremde;er bildete sich ein, in der rothen Gluth schon die Spitzen der vaterstädtischen Thürme zu entdecken, als durch einen Stoß das Rad von der gebrochenen Axe ablief, und der Wagen im Felde stehen bleiben mußte.;8075;8281;/1
Der Untergang des Hauses Usher;sagte er unvermittelt, nachdem er einige Augenblicke schweigend um sich geblickt hatte.;33341;33428;/1
Der Untergang des Hauses Usher;ha!;41924;41927;/1
Der Untergang des Hauses Usher;ha!;41928;41931;/1
Der Untergang des Hauses Usher;"Der Verfasser sprach von einer heftigen körperlichen Erkrankung – von niederdrückender geistiger Zerrüttung – und von dem innigen Wunsch, mich, der ich sein bester und tatsächlich sein einziger persönlicher Freund sei, wiederzusehen;";3181;3414;/0
Der Fremde;Da er sehr lebhaft und geistreich war, verstand er die Kunst, auch das Uninteressanteste anziehend zu machen.;4145;4254;/0
Das Bettelweib von Locarno;"Aber wie erschüttert war er, als er in der Tat, mit dem Schlage der Geisterstunde, das unbegreifliche Geräusch wahrnahm;";2830;2950;/1
Der Untergang des Hauses Usher;Seine Anschauung bestand in der Hauptsache darin, daß er den Pflanzen ein Empfindungsvermögen, eine Beseeltheit zuschrieb.;23729;23851;/0
Der Fremde;"Seine Familie war eine von den angesehensten in der Provinzialstadt, in welcher Amalie wohnte;";3745;3839;/0
Der Fremde;ich sehe schon die zerstreuten Lichter, die mir durch den Nebel entgegen blicken!;12741;12822;/0
Der Fremde;Ach Freund, ich eile einem Mädchen in die Arme, das ich so innig, so einzig liebe, und dessen Gegenliebe mich zum glücklichsten Menschen macht.;12899;13042;/0
Der Untergang des Hauses Usher;Ich erkannte sogleich Ushers Schritt.;32806;32843;/1
Der Fremde;"mit einem kalten Entsetzen ging er durch die Straßen, wie er es als Knabe empfunden hatte, wenn er die Geschichte jener Stadt las, deren Einwohner in Steine verwandelt wurden.
";16560;16737;/1
Der Untergang des Hauses Usher;Die Verse, die betitelt waren ›Der verzauberte Palast‹, lauteten ungefähr – wenn nicht wörtlich – so:;21974;22075;/0
Der Fremde;ein lebhaftes Gespräch machte, daß er die Länge des Weges und die Dunkelheit gar nicht bemerkte.;11482;11578;/0
Der Untergang des Hauses Usher;Ich sage: selbst ihre ungewöhnliche Dichtigkeit verhinderte uns nicht, dies wahrzunehmen – dennoch erblickten wir keinen Schimmer vom Mond oder von den Sternen – ebensowenig aber einen Blitzstrahl.;34188;34385;/1
Der Untergang des Hauses Usher;Ein winzig kleiner Pilz hatte alle Mauern wie mit einem Netzwerk überzogen, dessen feinmaschiges Geflecht von den Dachtraufen herabhing.;7196;7332;/0
Der Untergang des Hauses Usher;Ein Blick jedoch auf sein Gesicht überzeugte mich von seiner völligen Aufrichtigkeit.;10546;10631;/0
Der Fremde;"Dieser überließ sich nun gänzlich seiner Schwermuth;";5476;5528;/1
Der Untergang des Hauses Usher;Und ich vergegenwärtigte mir, daß in dieser Familie neben dem ungeteilten Besitztum auch die besonderen Charaktereigentümlichkeiten sich ungeteilt von Glied zu Glied vererbten, und sann darüber nach, inwieweit im Laufe der Jahrhunderte die eine dieser Tatsachen die andere beeinflußt haben könne.;4818;5114;/0
Der Fremde;Es schneidet dann eine Ahnung durch unser Gemüth, wie wenn all' unser Wissen, all' unser Glück nur ein leeres taubes Chaos wäre, und dies macht uns betrübt und wirft unsern stolzen Geist darnieder.;12250;12447;/0
Der Fremde;Die Phantasie spielt uns oft seltsame Streiche.;11985;12032;/0
Der Untergang des Hauses Usher;Nur mit Mühe gelang es mir, die Identität dieser gespenstischen Gestalt da vor mir mit dem Gefährten meiner Kindheit festzustellen.;10859;10990;/1
Der Untergang des Hauses Usher;Das Aufbrechen der Tür des Klausners, und der Todesschrei des Drachen, und das Dröhnen des Schildes!;41934;42034;/1
Der Untergang des Hauses Usher;Ich sage dir, daß sie jetzt draußen vor der Türe steht!;42600;42655;/1
Der Fremde;Ich bin diesen Weg noch nicht oft gegangen, begann der Unbekannte, darum geh' ich in der Finsterniß gern in Gesellschaft, um mich in den kreuzenden Fußsteigen nicht zu verirren, oder, wenn ich falsch gehe, wenigstens nicht allein zu sein, denn ich muß Ihnen meine Schwachheit gestehen, ich fürchte mich leicht in der Nacht.;11580;11903;/0
Der Fremde;Ein blauer Mantel wogte und wühlte sich aus den übereinanderliegenden Schatten hervor, ein Mensch näherte sich ihm langsam, als wie in tiefen Gedanken versunken.;10622;10783;/1
Der Untergang des Hauses Usher;Sein Gesicht war wie immer leichenhaft blaß – aber schrecklicher war der Ausdruck seiner Augen:;32940;33035;/1
Der Untergang des Hauses Usher;"mein Geist wankte, als ich jetzt die gewaltigen Mauern auseinanderbersten sah;";44251;44329;/1
Der Untergang des Hauses Usher;Es war das Werk des rasenden Sturmes – aber siehe – draußen vor der Türe stand leibhaftig die hohe, ins Leichentuch gehüllte Gestalt der Lady Magdalen Usher.;42860;43017;/1
Der Fremde;Er war als Knabe manchmal auf diesen Fußsteigen gegangen, war nachher lange nicht in diese Gegend gekommen, und bemühte sich nun die dunkeln und verworrenen Erinnerungen festzuhalten, die ihm zuweilen wie schwarze Wolken vorüberfuhren.;8923;9158;/1
Der Untergang des Hauses Usher;Denn ich kannte schon lange das paradoxe Gesetz aller Empfindungen, deren Ursprung das Entsetzen, das Grauen ist.;6038;6151;/0
Der Fremde;wenn der Leser alles besser weiß, so sollte er, meines Bedünkens nach, gar nicht mehr lesen.;400;492;/0
Der Untergang des Hauses Usher;"Ich sage
unerträglich,
denn dies Gefühl wurde durch keine der poetischen und darum erleichternden Empfindungen gelindert, mit denen die Seele gewöhnlich selbst die finstersten Bilder des Trostlosen oder Schaurigen aufnimmt.";507;730;/0
Der Untergang des Hauses Usher;Ich fühlte, wie sich ganz allmählich, doch unablässig seine seltsamen Wahnvorstellungen, die er mir niemals mitteilte, in mich hineinfraßen.;30961;31101;/1
Der Untergang des Hauses Usher;Mich tief zu ihm hinabbeugend, trank ich schließlich den scheußlichen Sinn seiner Worte ein:;41260;41352;/1
Der Untergang des Hauses Usher;"Es war mir ein Rätsel;";1603;1625;/1
Der Untergang des Hauses Usher;Sein Eigentümer, Roderick Usher, war einer meiner liebsten Jugendfreunde gewesen, doch seit unserer letzten Begegnung waren viele Jahre dahingegangen.;2747;2897;/0
Der Untergang des Hauses Usher;"ich mußte mich mit der wenig befriedigenden Erklärung begnügen, daß es
tatsächlich
in der Natur ganz einfache Dinge
gibt,
die durch die Umstände, in denen sie uns erscheinen, geradezu niederdrückend auf uns wirken können, daß es aber nicht in unsere Macht gegeben ist, eine Definition dieser Gewalt zu finden.";1689;1998;/0
Der Fremde;"Daß die Menschen doch so gern damit zufrieden sind, wenn sie einem fremdartigen Wesen einen Namen geben;";13848;13952;/0
Der Untergang des Hauses Usher;"Wenn je ein Sterblicher vermochte, eine
Idee
zu malen, so war es Roderick Usher.";19704;19784;/0
Der Untergang des Hauses Usher;Sein ganzes Wesen wurde ein anderes.;29962;29998;/1
Der Untergang des Hauses Usher;Nirgends fand sich in dieser Höhle eine Öffnung, und keine Fackel noch andere künstliche Lichtquelle war wahrnehmbar – dennoch quoll durch das Ganze eine Flut intensiver Strahlen und tauchte alles in eine gespenstische und ganz unvermutete Helligkeit.;20654;20905;/1
Das Bettelweib von Locarno;und während sie sich mit Gesprächen, so gut sie vermögen, zu unterhalten suchen, legt sich der Hund, Kopf und Beine zusammengekauert, in der Mitte des Zimmers nieder und schläft ein.;4633;4815;/1
Der Fremde;Sie sind sehr vergnügt.;12862;12885;/0
Der Untergang des Hauses Usher;Hier hielt ich wieder bestürzt inne – und diesmal mit schauderndem Entsetzen –, denn es konnte kein Zweifel sein, daß ich in diesem Augenblick (wennschon es mir unmöglich war, anzugeben, aus welcher Richtung) einen dumpfen und offenbar entfernten, aber schrillen, langgezogenen, kreischenden Laut vernommen hatte – das vollkommene Gegenstück zu dem unnatürlichen Aufschrei des Drachen, wie der Dichter ihn beschrieb.;38562;38978;/1
Der Untergang des Hauses Usher;Wir haben sie lebendig ins Grab gelegt!;41616;41655;/1
Der Untergang des Hauses Usher;Ihr ungeheures Gewicht brachte einen ungewöhnlich scharfen kreischenden Laut hervor, als sie sich schwerfällig in den Angeln drehte.;28448;28580;/1
Das Bettelweib von Locarno;"jemand, den kein Mensch mit Augen sehen kann, hebt sich, auf Krücken, im Zimmerwinkel empor;";4908;5000;/1
Der Untergang des Hauses Usher;"Die Gruft war eng, dumpfig und ohne jegliche Öffnung, die Licht hätte einlassen können; sie lag in beträchtlicher Tiefe, genau unter dem Teil des Hauses, in dem sich mein eigenes Schlafgemach befand.";27824;28023;/1
Der Fremde;eine Entdeckung, die ihn außerordentlich niederschlug, weil er wußte, daß sie mit Löwenstein versprochen sei.;4873;4982;/0
Der Untergang des Hauses Usher;Kein Teil des Mauerwerks war eingesunken, und die noch vollkommen erhaltene Gesamtheit stand in seltsamem Widerspruch zu der bröckelnden Schadhaftigkeit der einzelnen Steine.;7418;7592;/0
Der Fremde;Aber Amalie suchte sehr bald seine Gesellschaft zu vermeiden, denn seine Auszeichnung setzte sie in Verlegenheit, und der feurige Blick, der zuweilen ihrem Auge begegnete, machte sie erröthen.;4255;4447;/1
Der Untergang des Hauses Usher;Aber meine Anstrengungen waren fruchtlos.;31816;31857;/1
Der Untergang des Hauses Usher;Dies alles hatte ich mit raschem Blick erfaßt und nahm nun die Erzählung Sir Launcelots wieder auf:;40041;40140;/0
Der Untergang des Hauses Usher;"Wie er sagte, hatten einige Besonderheiten in der Bauart und dem Baumaterial seines Stammschlosses in dieser langen Leidenszeit auf seinen Geist Einfluß erlangt – einen Einfluß also, den das
Physische
der grauen Mauern und Türme und des trüben Pfuhls, in den sie alle hinabstarrten, auf seine
Psyche
ausübte.";15481;15789;/1
Der Fremde;"Wir müssen Abschied nehmen, sagte er, denn hier ist meine Wohnung.";15382;15449;/0
Der Fremde;Er war jetzt immer allein, sein liebster Aufenthalt war der Kirchhof, wo er unaufhörlich vor dem Erbbegräbniß seiner Familie auf- und niederging, und den Stamm einer Linde mit seinen Thränen benetzte, in welchen Amalie einst auf einem ihrer Spaziergänge zum Scherz ihren Namen geschnitten hatte.;5642;5937;/1
Der Fremde;Löwenstein eilte, und überließ sich ganz dem wunderbaren Spiele seiner Phantasie.;8841;8922;/0
Der Untergang des Hauses Usher;Das Leiden, das die Lady so in der Blüte der Jugend ins Grab gebracht, hatte – wie es bei Erkrankungen ausgesprochen kataleptischer Art gewöhnlich der Fall ist – auf Hals und Antlitz so etwas wie eine schwache Röte zurückgelassen und den Lippen ein argwöhnisch lauerndes Lächeln gegeben, das so schrecklich ist bei Toten.;29278;29599;/1
Der Fremde;Zu diesem Mittelpunkte drängen sich dann alle Theile der Geschichte, und man steht unvermerkt mitten in der Verwickelung.;2080;2201;/0
Der Fremde;Ich bitte Sie hiermit zu meiner Hochzeit.;15213;15254;/1
Der Untergang des Hauses Usher;"aber ich konnte mich der grauen Wahngespenster nicht erwehren;";1626;1688;/1
Der Untergang des Hauses Usher;Der Beweis – der Beweis dieser Beseeltheit – sei, so sagte er, zu erblicken (und als er das aussprach, schrak ich zusammen) in der hier ganz allmählichen, jedoch unablässig fortschreitenden Verdichtung der Atmosphäre – in dem eigentümlichen Dunstkreis, der Wasser und Wälle umgab.;24681;24961;/1
Der Fremde;Sie wären mir dann noch einmal so theuer!;14877;14918;/1
Der Untergang des Hauses Usher;Auf einer der Treppen begegnete ich dem Hausarzt.;9068;9117;/0
Der Untergang des Hauses Usher;Dies Haus stand gleichsam da wie altes Holzgetäfel, das in irgendeinem unbetretenen Gewölbe viele Jahre lang vermoderte, ohne daß je ein Lufthauch von draußen es berührte, und das darum in all seinem inneren Verfall stattlich und lückenlos dasteht.;7593;7841;/0
Der Untergang des Hauses Usher;Ich war in der Erzählung bei der allbekannten Stelle angelangt, wo Ethelred, der Held des ›Trist‹, nachdem er vergeblich friedlichen Einlaß in die Hütte des Klausners zu bekommen versucht hatte, sich anschickt, den Eintritt durch Gewalt zu erzwingen.;36048;36298;/0
Der Untergang des Hauses Usher;Noch einen andern sonderbaren Zug seiner geistigen Verfassung erfuhr ich nach und nach aus abgerissenen, unbestimmten Andeutungen.;15021;15151;/0
Der Fremde;"Ich will Sie besuchen;";14814;14836;/0
Der Untergang des Hauses Usher;unter anderem habe ich in schmerzlichster, quälendster Erinnerung eine seltsame Variation – eine Paraphrase über ›Carl Maria von Webers letzte Gedanken‹.;19010;19163;/0
Der Untergang des Hauses Usher;Was mochte es sein – dachte ich, langsamer reitend –, ja, was mochte es sein, daß der Anblick des Hauses Usher mich so erschreckend überwältigte?;1457;1602;/1
Der Untergang des Hauses Usher;Durch gewisse feine Andeutungen in der Zeichnung des Ganzen wurde im Beschauer der Gedanke erweckt, daß dieser Schacht sehr, sehr tief unter der Erde lag.;20499;20653;/1
Der Untergang des Hauses Usher;Oh, wohin soll ich fliehen?;42216;42243;/1
Der Untergang des Hauses Usher;Und nun hatte die übertriebene Entwicklung dieser charakteristischen Einzelheiten genügt, den Ausdruck seiner Züge derart zu verändern, daß ich nicht einmal wußte, ob er es wirklich war.;11615;11801;/0
Der Untergang des Hauses Usher;Ich weiß nicht, wie es kam – aber ich wurde gleich beim ersten Anblick dieser Mauern von einem unerträglich trüben Gefühl befallen.;375;506;/1
Der Untergang des Hauses Usher;Ich war erst ein paarmal so hin und her gegangen, als ein leichter Tritt auf der benachbarten Treppe meine Aufmerksamkeit erregte.;32675;32805;/1
Der Fremde;"Besuche, alle Arten von Zerstreuungen stellten ihn nach und nach wieder her;";17374;17450;/0
Das Bettelweib von Locarno;"man hört das Stroh, das unter ihm rauscht;";5001;5043;/1
Der Untergang des Hauses Usher;"Seine Zurückhaltung war immer außerordentlich gewesen; sie war ihm ganz selbstverständlich erschienen.";3862;3964;/0
Der Untergang des Hauses Usher;Ich konnte nicht anders, als an das seltsame Ritual dieses Werkes und seinen wahrscheinlichen Einfluß auf den Schwermütigen denken, als er eines Abends, nachdem er mir kurz mitgeteilt hatte, daß Lady Magdalen nicht mehr sei, seine Absicht äußerte, den Leichnam vor seiner endgültigen Beerdigung in einer der zahlreichen Grüfte innerhalb der Grundmauern des Gebäudes aufzubewahren.;26349;26729;/1
Der Fremde;aber Sie werden sich gewiß mit dem Geschlechte wieder versöhnen.;15056;15120;/0
Der Untergang des Hauses Usher;Eines der phantastischen Gemälde meines Freundes, ein Bild, das nicht so streng abstrakt war, sei hier schattenhaft nachgezeichnet – so gut es Worte eben können.;20135;20296;/0
Der Fremde;In der Gesellschaft der Fröhlichen wird auch der Trübsinnige heiter, aber der Glückliche findet sich selig.;17659;17766;/0
Der Fremde;"Er war in einem unaufhörlichen Zweikampf mit Amaliens Blicken begriffen, ihr Auge machte ihn verlegen, und doch that es ihm wohl, wenn es auf ihm ruhte.";4637;4790;/1
Das Bettelweib von Locarno;Der Marchese, dem viel an dem Handel gelegen war, gab seiner Frau auf, den Fremden in dem obenerwähnten, leerstehenden Zimmer, das sehr schön und prächtig eingerichtet war, unterzubringen.;1217;1405;/0
Der Untergang des Hauses Usher;"Perlengleich, rubinenglutend
War des stolzen Schlosses Tor,
Ihm entschwebten flutend, flutend
Süße Echos, die im Chor,
Weithinklingend, froh besangen
–
Süße Pflicht! –
Ihres Königs hehres Prangen
In der Weisheit Himmelslicht.";22745;22970;/0
Der Untergang des Hauses Usher;"später betätigte sich dies feinfühlige Empfinden in mancher Handlung großmütiger, doch unauffälliger Mildtätigkeit und in der leidenschaftlichen Hingabe an das
Studium
der Musik – weniger also an ihre altbekannten leichtfaßlichen Schönheitsformen, als an die tiefverborgenen Probleme dieser Kunst.";4227;4524;/0
Der Untergang des Hauses Usher;Ich stürzte zu dem Stuhl, in dem er saß.;40871;40911;/1
Der Untergang des Hauses Usher;Die Einrichtung war im allgemeinen überladen prunkvoll, unbehaglich, altmodisch und schadhaft.;9936;10030;/0
Der Untergang des Hauses Usher;Während er sprach, durchschritt Lady Magdalen – so hieß seine Schwester – langsam den entfernten Teil des Gemachs und verschwand, ohne meine Anwesenheit beachtet zu haben.;16350;16521;/0
Der Fremde;die Menschen wissen nicht, was sie wollen.;14194;14236;/1
Der Untergang des Hauses Usher;"Immerhin war mir bekannt, daß seine sehr alte Familie seit unvordenklichen Zeiten wegen einer eigentümlichen Reizbarkeit des Temperaments bekannt gewesen war, einer Reizbarkeit, die lange Jahre hindurch in vielen erhaben eigenartigen Kunstwerken sich aussprach;";3965;4226;/0
Der Fremde;Amalie war betrübt, und tröstete sich nur durch die häufigen Briefe, die sie schrieb und empfing.;3524;3621;/0
Der Fremde;Bemerken Sie, wie das, was wir unsern Geist nennen, von den äußern Gegenständen abhängt.;13056;13144;/0
Das Bettelweib von Locarno;"Am Abend des dritten Tages, da beide, um der Sache auf den Grund zu kommen, mit Herzklopfen wieder die Treppe zu dem Fremdenzimmer bestiegen, fand sich zufällig der Haushund, den man von der Kette losgelassen hatte, vor der Tür desselben ein;";3987;4229;/1
Das Bettelweib von Locarno;es war, als ob ein Mensch sich von Stroh, das unter ihm knisterte, erhob, quer über das Zimmer ging, und hinter dem Ofen, unter Geseufz und Geröchel niedersank.;2951;3111;/1
Der Fremde;Der Alte schüttelte bedenklich den Kopf, und sagte ihm, daß es das Lindnersche Erbbegräbniß sei.;16164;16260;/1
Der Untergang des Hauses Usher;Eine Menge Bücher und Musikinstrumente lagen umher, doch auch das vermochte nicht, die tote Starrheit des öden Raumes zu beleben.;10031;10160;/0
Der Untergang des Hauses Usher;"Oh, ich höre es wohl und
habe
es gehört.";41372;41412;/1
Der Untergang des Hauses Usher;Und du hast es nicht gesehen?;33310;33339;/1
Der Untergang des Hauses Usher;Ein wartender Diener nahm mein Pferd, und ich trat unter den gotisch gewölbten Torbogen der Halle.;8268;8366;/0
Der Untergang des Hauses Usher;Da hatte mich jüngst bei meinem Aufenthalt in einem entlegenen Teil des Landes ein Brief erreicht – ein Brief von ihm –, dessen seltsam ungestümer Charakter keine andere als eine persönliche und mündliche Beantwortung zuließ.;2898;3123;/1
Das Bettelweib von Locarno;Mehrere Jahre nachher, da der Marchese, durch Krieg und Mißwachs, in bedenkliche Vermögensumstände geraten war, fand sich ein florentinischer Ritter bei ihm ein, der das Schloß, seiner schönen Lage wegen, von ihm kaufen wollte.;989;1216;/0
Der Fremde;Wir vernehmen dann gleichsam in jedem vorübergehenden Laute eine Stimme, die uns aus unserm kläglichen Schlafe zu wecken strebt.;12461;12589;/0
Der Untergang des Hauses Usher;Außer diesen Zeichen eines allgemeinen Verfalls bot das Haus jedoch nur wenige Merkmale von Baufälligkeit.;7842;7948;/0
Der Untergang des Hauses Usher;Doch hatte in seinem verwirrten Geist diese Vorstellung einen kühneren Charakter angenommen und setzte sich in gewissen Grenzen auch ins Reich des Anorganischen fort.;23852;24018;/1
Der Untergang des Hauses Usher;Ein Lieblingsbuch war eine kleine Oktav-Ausgabe des ›Directorium Inquisitorium‹ des Dominikaners Emmerich von Gironne, und es gab Stellen in ›Pomponius Mela‹ über die alten afrikanischen Satyrn und Ögipans, vor denen Usher stundenlang träumend sitzen konnte.;25869;26127;/0
Das Bettelweib von Locarno;so erschrak sie, wie sie in ihrem Leben nicht getan, und bat ihn, bevor er die Sache verlauten ließe, sie noch einmal, in ihrer Gesellschaft, einer kaltblütigen Prüfung zu unterwerfen.;3360;3544;/1
Der Untergang des Hauses Usher;Ein Kammerdiener mit leichtem, leisem Schritt führte mich schweigend durch dunkle und gewundene Gänge bis in das Arbeitszimmer seines Herrn.;8367;8507;/1
Der Fremde;Sind Sie ein Weiberfeind?;14932;14957;/1
Der Untergang des Hauses Usher;Kaum hatten meine Lippen diese Worte gesprochen, da vernahm ich – als sei in der Tat ein eherner Schild schwer auf einen silbernen Boden gestürzt – deutlich, aber gedämpft, einen metallisch dröhnenden Widerhall.;40558;40769;/1
Das Bettelweib von Locarno;Aber ehe sie noch einige Sachen zusammengepackt und aus dem Tore herausgerasselt, sieht sie schon das Schloß ringsum in Flammen aufgehen.;5592;5729;/1
Der Fremde;Er übertrug dem Bedienten die Aufsicht über das Gepäck, und eilte fort, um noch zu Fuße vor dem Einbruch der Nacht seine Vaterstadt zu erreichen.;8359;8504;/1
Der Untergang des Hauses Usher;"In der Täler grünstem Tale
Hat, von Engeln einst bewohnt,
Gleich des Himmels Kathedrale
Golddurchstrahlt ein Schloß gethront.";22076;22201;/0
Der Untergang des Hauses Usher;Ich war keineswegs sicher, daß er die in Frage stehenden Laute vernommen hatte, obgleich allerdings während der letzten Minuten eine sonderbare Veränderung mit ihm vorgegangen war.;39315;39495;/1
Der Untergang des Hauses Usher;Sie äußere sich in einer Menge unnatürlicher Erregungszustände.;13652;13715;/0
Der Untergang des Hauses Usher;Ein nicht abzuschüttelndes Grauen durchbebte meinen Körper, und schließlich hockte auf meinem Herzen ein Alp – ein furchtbarstes Entsetzen.;31858;31997;/1
